id	osmid	name	tappa
17529	7534681	Sentiero Italia - Tappa L10
17531	7706213	Sentiero Italia - Tappa D12S
17532	7706212	Sentiero Italia - Tappa D13S
17535	7705278	Sentiero Italia - Tappa D10S
17566	7448514	Sentiero Italia - Tappa N01
17567	7337733	Sentiero Italia - Tappa O15
17568	9522865	Sentiero Italia - Tappa F20
17806	7635771	Sentiero Italia - Tappa E25
17945	7705269	Sentiero Italia - Tappa D36N
17951	7700985	Sentiero Italia - Tappa D27N
18218	7006736	Sentiero Italia - Tappa Z18
18437	9515452	Sentiero Italia - Tappa V23A
18544	7454140	SI - Valsorda (Rifugio Monte Maggio) - Val di Ranco
18551	7006739	Sentiero Italia - Tappa Z13
18561	7252576	Sentiero Italia - Tappa O01
18575	8433490	Sentiero Italia - Tappa V17
18576	8433463	Sentiero Italia - Tappa V15
18586	7159128	Sentiero Italia - Tappa U18
18587	9228162	Sentiero Italia - Tappa E65
18588	9456714	Sentiero Italia - Tappa S17S
18589	7262935	Sentiero Italia - Tappa O05
18590	7278681	Sentiero Italia - Tappa O06
18591	7282596	Sentiero Italia - Tappa O08
18592	10121299	Sentiero Italia - Tappa O19
18593	7680588	Sentiero Italia - Tappa D03
18594	9228161	Sentiero Italia - Tappa E66
18595	7160158	Sentiero Italia - Tappa U20
18596	7127282	Sentiero Italia - Tappa U07
18597	9456662	Sentiero Italia - Tappa S16S
18598	7454121	Sentiero Italia - Tappa N09
18599	7570141	Sentiero Italia - Tappa E06
18600	7454095	Sentiero Italia - Tappa N07
18601	7350655	Sentiero Italia - Tappa O16
18602	7462178	Sentiero Italia - Tappa N17
18603	7129522	Sentiero Italia - Tappa U10
18604	7222437	Sentiero Italia - Tappa Q07
18605	7670028	Sentiero Italia - Tappa E52
18606	9515328	Sentiero Italia - Tappa V23D
18607	7462228	Sentiero Italia - Tappa N18
18608	7252575	Sentiero Italia - Tappa O02
18609	7670114	Sentiero Italia - Tappa E60
18610	9462685	Sentiero Italia - Tappa E31
18611	7350654	Sentiero Italia - Tappa O18
18612	10120983	Sentiero Italia - Tappa O17
18613	9515305	Sentiero Italia - Tappa V23C
18614	7670029	Sentiero Italia - Tappa E51
18615	7162817	Sentiero Italia - Tappa U26
18618	7261839	Sentiero Italia - Tappa O04
18645	11592528	Sentiero Italia - Tappa Z24
18646	9522737	Sentiero Italia - Tappa F15
18647	9266264	Sentiero Italia - Tappa U30
18648	7122962	Sentiero Italia - Tappa Z01
18649	8465238	Sentiero Italia - Tappa V06
18650	9521662	Sentiero Italia - Tappa F05
18651	9521659	Sentiero Italia - Tappa F04
18652	7560339	Sentiero Italia - Tappa L24
18653	7668748	Sentiero Italia - Tappa E36
18654	7601356	Sentiero Italia - Tappa E20
18655	6946447	Sentiero Italia - Tappa D23S
18656	7164319	Sentiero Italia - Tappa U28
18657	7555158	Sentiero Italia - Tappa L22
18658	7126567	Sentiero Italia - Tappa U03
18659	7670032	Sentiero Italia - Tappa E48
18660	9519366	Sentiero Italia - Tappa E34V
18661	7599318	Sentiero Italia - Tappa E14
18662	7668707	Sentiero Italia - Tappa E33
18663	9230885	Sentiero Italia - Tappa E50N
18664	9519424	Sentiero Italia - Tappa F01
18665	11594249	Sentiero Italia - Tappa Z25
18666	7669984	Sentiero Italia - Tappa E45
18667	7872628	Sentiero Italia - Tappa V05
18668	9522690	Sentiero Italia - Tappa F14
18669	7011025	Sentiero Italia - Tappa Z06
18670	9521831	Sentiero Italia - Tappa F09
18671	9270352	Sentiero Italia - Tappa U31
18672	7127284	Sentiero Italia - Tappa U05
18673	7670030	Sentiero Italia - Tappa E50
18674	7599319	Sentiero Italia - Tappa E13
18675	12237113	Sentiero Italia - Tappa E34Z
18676	7872456	Sentiero Italia - Tappa V04
18677	9521961	Sentiero Italia - Tappa F12
18678	9519444	Sentiero Italia - Tappa F02
18679	12326752	SI - Ciminna - Montemaggiore Belsito
18680	8433859	Sentiero Italia - Tappa V26
18681	9522749	Sentiero Italia - Tappa F16
18682	7669985	Sentiero Italia - Tappa E44
18683	7428240	Sentiero Italia - Tappa P12
18684	7874137	Sentiero Italia - Tappa V07
18685	8433860	Sentiero Italia - Tappa V27
18686	9521891	Sentiero Italia - Tappa F11
18687	7424361	Sentiero Italia - Tappa P11
18689	6946449	Sentiero Italia - Tappa D21S
18690	9522807	Sentiero Italia - Tappa F18
22304	11999720	Sentiero Italia - Tappa SI L05AP
22926	7555095	Sentiero Italia - Tappa L19
